__time,/foil_consigne/servo_aileron_left,/foil_consigne/servo_aileron_right,/foil_consigne/servo_foil,/foil_consigne/servo_gouvernail,/foil_consigne/thruster
1707317343.533555,2.458762169,-0.508793294,-1.483777642,0.000000000,40.000000000
1707317343.634037,2.456929684,-0.508867919,-1.482898831,0.000000000,40.000000000
1707317343.733482,2.451768398,-0.514560044,-1.483164310,0.000000000,40.000000000
1707317343.833358,2.445996523,-0.518187165,-1.482091904,0.000000000,40.000000000
1707317343.933438,2.440462589,-0.522488356,-1.481475472,0.000000000,40.000000000
1707317344.033342,2.439414978,-0.524302959,-1.481858969,0.000000000,40.000000000
1707317344.133252,2.440449715,-0.523934007,-1.482191801,0.000000000,40.000000000
1707317344.233467,2.445421219,-0.520425677,-1.482923508,0.000000000,40.000000000
1707317344.333200,2.451282501,-0.515353084,-1.483317733,0.000000000,40.000000000
1707317344.433342,2.452663898,-0.513122797,-1.482893348,0.000000000,40.000000000
1707317344.533515,2.451798439,-0.512485266,-1.482141852,0.000000000,40.000000000
1707317344.633133,2.449838877,-0.514026344,-1.481932640,0.000000000,40.000000000
1707317344.733234,2.446475029,-0.517709553,-1.482092261,0.000000000,40.000000000
1707317344.833189,2.440602779,-0.521859825,-1.481231332,0.000000000,40.000000000
1707317344.933136,2.437328339,-0.524839520,-1.481083989,0.000000000,40.000000000
1707317345.033142,2.437120914,-0.524870098,-1.480995536,0.000000000,40.000000000
1707317345.133166,2.440070629,-0.522155762,-1.481113195,0.000000000,40.000000000
1707317345.233030,2.441943884,-0.519225478,-1.480584621,0.000000000,40.000000000
1707317345.332981,2.445261478,-0.515715361,-1.480488420,0.000000000,40.000000000
1707317345.433084,2.445461988,-0.513584197,-1.479523063,0.000000000,40.000000000
1707317345.533154,2.445372105,-0.514310539,-1.479841352,0.000000000,40.000000000
1707317345.633057,2.443374872,-0.516720057,-1.480047464,0.000000000,40.000000000
1707317345.733221,2.439961433,-0.518832922,-1.479397178,0.000000000,40.000000000
1707317345.833003,2.438137770,-0.520240068,-1.479188919,0.000000000,40.000000000
1707317345.933132,2.436085701,-0.518841028,-1.477463365,0.000000000,40.000000000
1707317346.033028,2.437489986,-0.516435921,-1.476962924,0.000000000,40.000000000
1707317346.133000,2.439962626,-0.514176428,-1.477069497,0.000000000,40.000000000
1707317346.232893,2.443088055,-0.510611415,-1.476849794,0.000000000,40.000000000
1707317346.332809,2.444322586,-0.508463025,-1.476392746,0.000000000,40.000000000
1707317346.433072,2.443176031,-0.510098279,-1.476637125,0.000000000,40.000000000
1707317346.532954,2.443549633,-0.510241032,-1.476895332,0.000000000,40.000000000
1707317346.632854,2.440184593,-0.512375891,-1.476280212,0.000000000,40.000000000
1707317346.732931,2.436782360,-0.514928639,-1.475855589,0.000000000,40.000000000
1707317346.833009,2.435227871,-0.516012371,-1.475620031,0.000000000,40.000000000
1707317346.933074,2.435480595,-0.515849113,-1.475664735,0.000000000,40.000000000
1707317347.032769,2.436358929,-0.512599230,-1.474479079,0.000000000,40.000000000
1707317347.132803,2.439126492,-0.510137618,-1.474632144,0.000000000,40.000000000
